,mae_copy,loss,nmse_train,nmse,mse,mae,lossv,nmse_test,nmsev,msev,maev
280411,4.13018044,0.00224290,0.00224290,0.00313147,0.01466994,0.08390042,0.00224228,0.00224228,0.00313028,0.01466182,0.08386035
280511,4.13019325,0.00224234,0.00224234,0.00313071,0.01466330,0.08387936,0.00224172,0.00224172,0.00312951,0.01465518,0.08383932
280611,4.13019781,0.00224179,0.00224179,0.00312994,0.01465655,0.08385864,0.00224116,0.00224116,0.00312874,0.01464843,0.08381863
280711,4.13019546,0.00224123,0.00224123,0.00312919,0.01464987,0.08383829,0.00224061,0.00224061,0.00312800,0.01464176,0.08379831
280811,4.13023217,0.00224069,0.00224069,0.00312841,0.01464360,0.08381835,0.00224006,0.00224006,0.00312722,0.01463550,0.08377839
280911,4.13025480,0.00224014,0.00224014,0.00312764,0.01463704,0.08379817,0.00223951,0.00223951,0.00312645,0.01462894,0.08375824
281011,4.13024489,0.00223959,0.00223959,0.00312690,0.01463049,0.08377778,0.00223897,0.00223897,0.00312571,0.01462240,0.08373789
281111,4.13024949,0.00223904,0.00223904,0.00312613,0.01462386,0.08375703,0.00223842,0.00223842,0.00312494,0.01461578,0.08371716
281211,4.13023782,0.00223850,0.00223850,0.00312540,0.01461755,0.08373656,0.00223787,0.00223787,0.00312421,0.01460946,0.08369658
281311,4.13022815,0.00223795,0.00223795,0.00312461,0.01461079,0.08371560,0.00223732,0.00223732,0.00312342,0.01460271,0.08367565
281411,4.13020578,0.00223739,0.00223739,0.00312382,0.01460400,0.08369508,0.00223677,0.00223677,0.00312263,0.01459592,0.08365516
281511,4.13023864,0.00223686,0.00223686,0.00312308,0.01459774,0.08367523,0.00223624,0.00223624,0.00312189,0.01458967,0.08363533
281611,4.13022481,0.00223631,0.00223631,0.00312232,0.01459101,0.08365519,0.00223569,0.00223569,0.00312113,0.01458295,0.08361533
281711,4.13021112,0.00223578,0.00223578,0.00312159,0.01458452,0.08363473,0.00223515,0.00223515,0.00312040,0.01457646,0.08359489
281811,4.13018825,0.00223523,0.00223523,0.00312084,0.01457780,0.08361403,0.00223461,0.00223461,0.00311965,0.01456975,0.08357423
