,mae_copy,loss,nmse_train,nmse,mse,mae,lossv,nmse_test,nmsev,msev,maev
20159,3.84807332,0.00765565,0.00765565,0.01055976,0.45620534,0.27623899,0.00761661,0.00761661,0.01049042,0.44305660,0.27441850
20259,3.84760665,0.00760424,0.00760424,0.01048981,0.45115240,0.27440041,0.00756544,0.00756544,0.01042088,0.43815382,0.27258883
20359,3.84717761,0.00755359,0.00755359,0.01042144,0.44620438,0.27258120,0.00751521,0.00751521,0.01035313,0.43335421,0.27078254
20459,3.84691591,0.00750485,0.00750485,0.01035439,0.44138084,0.27084861,0.00746677,0.00746677,0.01028663,0.42867520,0.26906285
20559,3.84671995,0.00745735,0.00745735,0.01028998,0.43667103,0.26917781,0.00741972,0.00741972,0.01022301,0.42410838,0.26741251
20659,3.84655739,0.00741044,0.00741044,0.01022542,0.43204993,0.26751497,0.00737317,0.00737317,0.01015910,0.41962625,0.26576530
20759,3.84663246,0.00736458,0.00736458,0.01016276,0.42753574,0.26588282,0.00732760,0.00732760,0.01009706,0.41524774,0.26414929
20859,3.84671679,0.00732014,0.00732014,0.01010204,0.42312626,0.26431412,0.00728349,0.00728349,0.01003684,0.41097027,0.26258872
20959,3.84623554,0.00727646,0.00727646,0.01004259,0.41880174,0.26276633,0.00724023,0.00724023,0.00997808,0.40677730,0.26105606
21059,3.84652699,0.00723333,0.00723333,0.00998333,0.41456437,0.26121768,0.00719732,0.00719732,0.00991914,0.40266515,0.25950895
21159,3.84749869,0.00719150,0.00719150,0.00992648,0.41042352,0.25972038,0.00715587,0.00715587,0.00986293,0.39864948,0.25803054
21259,3.84761440,0.00715043,0.00715043,0.00987039,0.40636836,0.25827080,0.00711519,0.00711519,0.00980754,0.39471728,0.25659975
21359,3.84749572,0.00710977,0.00710977,0.00981468,0.40238870,0.25681875,0.00707466,0.00707466,0.00975204,0.39085462,0.25515053
21459,3.84749106,0.00707042,0.00707042,0.00976011,0.39848971,0.25542394,0.00703559,0.00703559,0.00969791,0.38707210,0.25376655
21559,3.84846824,0.00703172,0.00703172,0.00970704,0.39467538,0.25404990,0.00699699,0.00699699,0.00964504,0.38336983,0.25239690
21659,3.84820309,0.00699369,0.00699369,0.00965436,0.39092980,0.25269860,0.00695904,0.00695904,0.00959237,0.37973357,0.25104490
21759,3.84797603,0.00695637,0.00695637,0.00960328,0.38726333,0.25138009,0.00692203,0.00692203,0.00954186,0.37617745,0.24974133
21859,3.84830305,0.00691976,0.00691976,0.00955313,0.38366594,0.25007322,0.00688562,0.00688562,0.00949201,0.37268649,0.24844069
21959,3.84821898,0.00688395,0.00688395,0.00950386,0.38014283,0.24881196,0.00684979,0.00684979,0.00944265,0.36926499,0.24717338
22059,3.84824419,0.00684875,0.00684875,0.00945543,0.37668598,0.24756514,0.00681473,0.00681473,0.00939452,0.36591022,0.24593333
22159,3.84802519,0.00681455,0.00681455,0.00940857,0.37330027,0.24635164,0.00678088,0.00678088,0.00934830,0.36262768,0.24473202
